DIMENSION : 50
Fitness : 1371.44
40 1.30374 1.98751
31 17.2601 29.9333
12 33.9516 14.8569
14 57.4218 37.3269
3 51.7834 32.2475
13 45.7019 43.7864
30 50.8629 32.4604
44 38.2162 35.6926
42 23.1554 44.4352
10 38.2825 64.9079
27 27.7525 45.7559
50 28.4241 45.6395
38 24.9862 42.7256
8 26.1983 14.9415
46 43.6549 4.97451
4 28.2434 60.5865
5 33.3764 67.8649
45 25.6854 83.5874
21 27.1024 86.4603
1 22.6114 85.324
19 45.6841 73.8671
24 83.3229 34.1017
39 79.0514 53.1602
16 23.309 76.7241
9 13.6789 24.8921
6 15.4425 24.9776
36 70.9561 79.1621
18 84.2966 79.5683
17 98.7124 80.8001
7 86.9894 60.0368
29 52.3613 46.4373
34 18.596 48.9048
26 19.2877 33.3217
37 4.43115 62.5923
49 54.3588 96.2872
2 30.6318 96.983
41 39.0418 89.5302
22 6.86557 81.6734
43 14.4073 80.9686
48 18.2027 23.369
11 83.7564 77.6032
28 67.4846 68.3831
23 88.1835 42.3516
33 63.3708 27.9002
25 51.9791 54.9206
20 57.8455 45.0736
47 80.375 25.3504
32 64.8567 6.47159
15 63.3825 11.4644
35 35.3685 9.6202
EOF
